HMDB14687	D03697
HMDB14523	D08215
HMDB15252	D01599
HMDB15271	D00257
HMDB14682	D07499
HMDB01537	D05294
HMDB35765	D04918
HMDB15640	D08684
HMDB14916	D01710
HMDB15350	D02347
HMDB42009	D02474
HMDB14690	D00562
HMDB14808	D08389
HMDB14545	D00618
HMDB00159	D00021
HMDB00675	D00108
HMDB01510	D07591
HMDB41866	D07785
HMDB15302	D02561
HMDB15633	D07310
HMDB03418	D09007
HMDB15011	D08147;D01689
HMDB01937	D02147
HMDB14514	D00563
HMDB15387	D03208
HMDB14600	D08411
HMDB42046	D07253
HMDB14495	D08167
HMDB33139	D05952
HMDB15143	D00248
HMDB15102	D03693
HMDB29926	D02401
HMDB15337	D00363
HMDB14999	D00130
HMDB35213	D04876
HMDB14777	D07598
HMDB15377	D02580
HMDB14901	D00401
HMDB15201	D00280
HMDB14925	D00222
HMDB15251	D00294
HMDB29415	D00175;D06393
HMDB14572	D05932
HMDB15019	D03752
HMDB00562	D03600
HMDB15115	D02689
HMDB15434	D04243
HMDB14846	D05938
HMDB14736	D08106
HMDB31217	D02319
HMDB14585	D07896
HMDB14867	D06878
HMDB29862	D07767
HMDB15151	D00336
HMDB14661	D07626
HMDB15563	D08453
HMDB15393	D03656
HMDB14868	D00372
HMDB03555	D00148
HMDB15157	D00148
HMDB29696	D04926
HMDB05022	D08410
HMDB04472	D04115
HMDB41907	D08068
HMDB15267	D00255
HMDB15636	D02578
HMDB15093	D01363
HMDB01938	D08131
HMDB15416	D02497
HMDB04627	D03338
HMDB29861	D02473
HMDB14995	D02375
HMDB15147	D03504
HMDB14614	D08229
HMDB01875	D02309
HMDB34834	D05961
HMDB15560	D00374
HMDB14928	D03753
HMDB01852	D00094
HMDB00740	D00352
HMDB15462	D07464
HMDB31833	D06131
HMDB15509	D07929
HMDB15439	D06010
HMDB15116	D00196
HMDB15659	D05637
HMDB14843	D07782
HMDB15641	D07144
HMDB15546	D01485
HMDB14396	D00888
HMDB15028	D02434
HMDB14620	D00270
HMDB14645	D00136
HMDB60080	D00176
HMDB15202	D00494
HMDB15141	D00964
HMDB00191	D00013
HMDB15690	D07195
HMDB05000	D00364
HMDB15512	D01328
HMDB14646	D00427
HMDB15224	D00112
HMDB15673	D07130
HMDB41856	D07688
HMDB15413	D00580
HMDB14986	D08114
HMDB12226	D00781
HMDB15119	D00956
HMDB14812	D04292
HMDB14961	D01294
HMDB14760	D08270
HMDB01916	D07486
HMDB14352	D07486
HMDB01426	D00017
HMDB14502	D04895
HMDB00265	D08128
HMDB15265	D08599
HMDB14980	D00464
HMDB04992	D00552
HMDB33772	D02931
HMDB15351	D02554
HMDB32943	D07856
HMDB34227	D01735
HMDB01514	D04334
HMDB15159	D05096
HMDB00167	D00041
HMDB00258	D00025
HMDB14582	D07654
HMDB15204	D01324
HMDB15275	D00518
HMDB15176	D00369
HMDB00015	D03595
HMDB15358	D04716
HMDB00210	D07413
HMDB15605	D01418
HMDB00305	D06543
HMDB15403	D03714
HMDB01870	D00038
HMDB15526	D04650
HMDB14850	D00330
HMDB00050	D00045
HMDB00355	D04897
