CID100054808	-
CID100054840	DB00289
CID100054949	-
CID100055331	-
CID100055466	DB00789
CID100055480	DB08918;DB04896
CID100056338	DB01320
CID100056959	DB00243
CID100057166	-
CID100057469	DB00724
CID100057537	DB05271
CID100057697	DB00885
CID100059708	DB01202
CID100059768	DB00187
CID100060146	DB00706
CID100060164	DB00210
CID100060172	-
CID100060183	-
CID100060184	DB00790
CID100060198	DB00990
CID100060490	DB00744
CID100060496	-
CID100060612	DB00633
CID100060613	DB00369
CID100060668	-
CID100060695	DB00728
CID100060706	DB00760
CID100060714	-
CID100060726	DB00963
CID100060751	-
CID100060752	DB00308
CID100060754	-
CID100060787	DB01232
CID100060795	DB01238
CID100060814	DB00899
CID100060830	DB01409
CID100060834	DB00476
CID100060843	DB00642
CID100060852	DB00710;DB04635
CID100060853	DB00246
CID100060860	DB06704
CID100060864	DB00768
CID100060867	DB00922
CID100060871	DB00718
CID100060877	DB00879
CID100060878	DB00876
CID100060936	DB01133
CID100060953	DB01101
CID100061475	-
CID100061799	-
CID100062305	-
CID100062358	DB06768
CID100062816	DB00375
CID100062819	-
CID100062924	-
CID100062956	-
CID100062959	DB00685
CID100062965	-
CID100063001	-
CID100064147	DB01610
CID100064778	-
CID100064929	-
CID100064987	DB00300
CID100065014	DB06809
CID100065157	-
CID100065281	DB00626
CID100065370	-
CID100065628	-
CID100065840	-
CID100065856	DB00234
CID100065863	DB01153
CID100065866	DB00528
CID100065999	DB00966
CID100068613	-
CID100068740	DB00399
CID100068844	DB01194
CID100069512	-
CID100071158	DB00659
CID100071273	DB00296
CID100071301	DB04861
CID100071316	DB01226
CID100071329	DB00204
CID100071348	-
CID100071360	DB04946
CID100071362	DB06196
CID100071406	-
CID100071436	DB01160
CID100071469	-
CID100071616	DB00582
CID100072022	-
CID100072054	DB00496
CID100072081	DB02638
CID100072111	DB01220
CID100072466	DB00290
CID100072938	DB01155
CID100073303	-
CID100073658	DB00976
CID100074989	DB01117
CID100077992	DB00998
CID100077993	DB00216
CID100077996	DB00910
CID100077997	-
CID100077998	DB00412
CID100078032	-
CID100082146	DB00307
CID100082148	DB06594
CID100083030	-
CID100083513	-
CID100083606	-
CID100084003	-
CID100091488	-
CID100093860	DB07475;DB00188
CID100096312	DB01280
CID100102258	-
CID100102399	-
CID100104741	DB00947
CID100104758	DB00293
CID100104778	-
CID100104799	DB04106
CID100104849	DB06155
CID100104865	DB00559
CID100105145	-
CID100107694	-
CID100107969	DB05286;DB08868
CID100107994	-
CID100110634	DB00862
CID100110635	DB00820
CID100114709	-
CID100115237	DB01267
CID100115355	DB00348
CID100119182	DB07554;DB00631
CID100119212	-
CID100119607	DB00580;DB07576
CID100119828	DB08439
CID100119830	-
CID100121396	DB06775
CID100121749	DB08734
CID100121892	DB04953
CID100122197	DB08824
CID100122316	DB03894;DB01367
CID100123015	-
CID100123597	DB00287
CID100123606	DB00918
CID100123610	-
CID100123611	DB00569
CID100123619	DB01628;DB07166
CID100123620	DB00764
CID100123623	DB00520
CID100123631	DB07998;DB00317
CID100123634	-
CID100123809	-
CID100124087	DB00967
CID100125017	DB06700
CID100125889	DB00230
CID100127909	DB00905;DB06863
CID100128549	-
CID100129228	DB06201
CID100129806	DB01098
CID100130564	-
CID100130881	-
CID100131535	DB01319
CID100132804	-
CID100132971	DB05812
CID100132999	-
CID100134018	DB03786
CID100134019	-
CID100134780	DB08910
CID100135113	-
CID100145068	DB00435
CID100147740	-
CID100147912	DB01263
CID100148121	DB06813
CID100148127	DB04938
CID100148191	DB06287
CID100148192	DB01072
CID100148211	DB00377
CID100150310	DB00700
CID100150311	DB00973
CID100150610	DB00303
CID100151075	DB06802
CID100151165	DB00673
CID100151171	DB00872
CID100152945	DB01126
CID100153941	DB00442
CID100153994	DB04920
CID100154058	DB01591
CID100154256	-
CID100156326	DB06216
CID100156418	DB01012
CID100157429	-
CID100157688	-
CID100157920	DB01046
CID100157921	DB00992
CID100158781	DB00275
CID100158786	-
CID100159247	-
CID100160036	-
CID100160051	-
CID100160352	-
CID100163296	DB00932
CID100166548	DB00362
CID100168625	-
CID100168924	-
CID100170361	DB01273
CID100171558	-
CID100176870	DB00530
CID100179344	-
CID100185457	-
CID100192155	-
CID100193962	DB07191;DB06414
CID100197281	DB00743
CID100197712	-
CID100206527	-
CID100208898	DB04855
CID100208902	DB00980
CID100208908	DB02584;DB01259
CID100208920	-
CID100213023	DB06695
CID100213039	DB01264
CID100213046	DB08815
CID100214339	DB08933
CID100216209	DB01258
CID100216210	-
CID100216235	DB06268
CID100216237	DB06212
CID100216239	DB07438;DB00398
CID100216258	DB01111
CID100216326	DB00480
CID100216416	-
CID100219024	DB06213
CID100219078	DB06218
CID100219084	-
CID100219090	DB06717
CID100222786	-
CID100315411	DB04282;DB02228;DB04084;DB04483
CID100358641	-
CID100441332	-
CID100441382	DB00826
CID100443379	-
CID100444006	-
CID100444013	DB00538
CID100444033	DB01410
CID100449193	DB01656
CID100455658	-
CID100477468	DB01141
CID100483407	DB04835
CID100489129	-
CID100517045	-
CID100644241	DB04868
CID100656628	DB06207
CID100656892	DB08903
CID100657298	DB00550
CID100667490	DB01033
CID101349907	DB00763
CID102723601	DB00352
CID102761171	DB00609
CID103006171	DB05083;DB08864;DB08592
CID103010818	DB05521
CID103038497	DB06716
CID103052762	-
CID103055172	DB00337
CID103062316	DB01254
CID103080904	-
CID103081276	-
CID103081361	DB08764;DB05294
CID103081362	DB06402
CID103081884	-
CID103085017	DB00658
CID103086257	-
CID103086685	-
CID103086686	DB07417;DB01268
CID103325225	-
CID104369359	DB07214;DB01261
CID104474778	-
CID104479094	-
CID104479097	DB00200
CID104517618	-
CID104630253	DB00240
CID104659568	DB00494
CID104659569	DB00323
CID105001396	DB02507;DB08496;DB00682
CID105251896	DB04876
CID105273759	-
CID105277135	-
CID105281007	DB00851
CID105310993	-
CID105311167	-
CID105327147	-
CID105328940	DB06616
CID105353894	DB00733
CID105353980	DB08518;DB00795
CID105359596	-
CID105360237	-
CID105361912	DB00615
CID105361917	DB06800
CID105362070	-
CID105362420	DB00460
CID105381226	DB01045
CID105462337	DB01250
CID105464096	-
CID105479141	-
CID105487068	-
CID105487301	DB01079
CID105488383	-
CID105488547	-
CID105493381	DB01609
CID106102852	DB06703
CID106323497	DB01201
CID106326970	-
CID106328144	-
CID106328526	-
CID106331630	DB08871
CID106333887	-
CID106398970	DB00535
CID106433082	-
CID106433091	DB06204
CID106433101	DB08819
CID106433117	DB05039
CID106433119	DB08477;DB06228
CID106435110	DB00602
CID106437075	-
CID106440191	-
CID106442177	-
CID106445540	-
CID106452749	-
CID106453361	-
CID106477186	-
CID106850789	-
CID106850791	-
CID106918182	-
CID106918313	DB06684
CID106918366	-
CID106918430	DB04918
CID106918456	DB06209
CID106918462	DB01256
CID106918558	DB06702
CID106918584	-
CID106918638	-
CID106918670	DB05013
CID109794842	-
CID109800339	-
