CID100003003	S01BA06;D07AB19;C05AA09;D07AC01;S03BA03;H02AB02;S01CB04;S02BA07;A01AC02;D07XB05;R01AD03;D10AA03;R01AD06;R03BA04;C05AA05;H02AB01;S02BA06;S03BA01;A07EA04;S01CB01;D07XC01;S01BA01
CID100003007	N06BA02;N06BA01
CID100003008	R05DA09
CID100003009	D11AX16;P01CX03
CID100003015	G03HA01
CID100003016	N05BA01
CID100003019	C02DA01;V03AH01
CID100003032	M02AA15;D11AX18;S01BC03;M01AB05
CID100003038	S01EC02
CID100003040	J01CF01
CID100003042	A03AA07
CID100003043	J05AF02
CID100003053	-
CID100003056	-
CID100003059	N02BA11
CID100003060	D07AC19
CID100003062	C01AA05
CID100003063	N02AA08
CID100003066	N02CA01
CID100003075	C05AE03;C08DB01
CID100003080	V03AB09
CID100003100	D04AA32;N04AB01;R06AA02
CID100003105	S01EA02
CID100003108	B01AC07
CID100003114	C01BA03
CID100003117	N07BB01;P03AA04
CID100003121	N03AG01
CID100003125	C02KB01
CID100003143	L01CD02
CID100003148	A04AA04
CID100003151	A03FA03
CID100003152	N06DA02
CID100003154	S01EC03
CID100003155	N06AA16
CID100003156	R07AB01
CID100003157	C02CA04
CID100003158	N06AA12
CID100003168	N05AD08
CID100003171	-
CID100003182	R03DA01
CID100003198	G01AF05;D01AC03
CID100003199	L01CX01
CID100003202	-
CID100003203	J05AG03
CID100003209	-
CID100003219	S01GX06
CID100003222	C09AA02
CID100003226	N01AB04
CID100003241	S01GX10;R06AX24
CID100003249	A11CC01
CID100003250	G02AB03
CID100003251	N02CA02
CID100003255	S01AA17;J01FA01;D10AF02
CID100003256	-
CID100003261	N05CD04
CID100003263	-
CID100003267	-
CID100003268	-
CID100003269	G03CC06;G03CA04
CID100003278	C03CC01
CID100003279	J04AK02
CID100003291	N03AD01
CID100003292	N03AB01
CID100003305	M05BA01
CID100003308	M01AB08
CID100003310	L01CB01
CID100003324	J05AB09;S01AD07
CID100003325	A02BA03
CID100003331	N03AX10
CID100003333	C08CA02
CID100003339	C10AB05
CID100003340	C01CA19
CID100003342	M01AE04
CID100003345	N01AH01;N02AB03
CID100003348	R06AX26
CID100003350	D11AX10;G04CB01
CID100003354	G04BD02
CID100003355	C01BC04
CID100003363	-
CID100003364	J01CF05
CID100003365	J02AC01;D01AC15
CID100003366	J02AX01;D01AE21
CID100003367	L01BB05
CID100003368	-
CID100003370	-
CID100003372	N05AB02
CID100003373	V03AB25
CID100003375	D07AC10;D07XB01;D07AB03
CID100003379	R03BA03;R01AD04
CID100003380	N05CD03
CID100003381	C05AA10;D07AC04;S01BA15;S02BA08
CID100003382	D07AC08;C05AA11
CID100003384	S01CB05;S01BA07;D07XB04;D10AA01;D07AB06;C05AA06
CID100003385	L01BC02
CID100003386	N06AB03
CID100003387	G03BA01
CID100003388	-
CID100003392	D07AC07
CID100003393	N05CD01
CID100003394	S01BC04;M01AE09;R02AX01;M02AA19
CID100003397	L02BB01
CID100003399	-
CID100003403	C10AA04
CID100003404	N06AB08
CID100003405	B03BB01
CID100003406	V03AB34
CID100003410	R03AC13
CID100003414	J05AD01
CID100003417	J01XX01
CID100003419	C09AA09
CID100003425	L01XX39
CID100003440	C03CA01
CID100003443	D09AA02;D06AX01;J01XC01;S01AA13
CID100003446	N03AX12
CID100003449	N06DA04
CID100003454	S01AD09;J05AB06
CID100003461	L01BC05
CID100003462	G02AD03
CID100003463	C10AB04
CID100003467	S03AA06;D06AX07;S01AA11;S02AA14;J01GB03
CID100003475	A10BB09
CID100003476	A10BB12
CID100003478	A10BB07
CID100003488	A10BB01
CID100003494	A03AB02;R03BB06
CID100003510	A04AA02
CID100003512	D01AA08;D01BA01
CID100003516	R05CA03
CID100003517	-
CID100003519	C02AC02
CID100003520	-
CID100003553	D07AD02
CID100003559	N05AD01
CID100003598	D08AE01
CID100003623	S01FA05
CID100003636	A03BB01
CID100003637	C02DB02
CID100003639	C03AA03
CID100003640	S01BA02;H02AB09;C05AA01;A07EA02;S01CB03;S02BA01;A01AC03;D07XA01;D07AA02
CID100003642	D07AB02
CID100003647	C03AA02
CID100003648	N02AA03
CID100003652	P01BA02
CID100003657	L01XX05
CID100003658	N05BB01
CID100003661	S01FA01;A03BA01;V03AB14;A03BA03
CID100003672	M01AE01;C01EB16;G02CC01;M01AE14;M02AA13
CID100003675	N06AF03
CID100003676	R02AD02;S02DA01;D04AB01;C01BB01;C05AD01;S01HA07;N01BB02
CID100003685	L01DB06
CID100003687	S01AD01;J05AB02;D06BB01
CID100003690	L01AA06
CID100003696	N06AA02
CID100003702	C03BA11
CID100003706	J05AE02
CID100003715	M01AB01;M02AA23;S01BC01;C01EB03
CID100003724	V08AB09
CID100003730	V08AB02
CID100003734	V08AB04
CID100003736	V08AB05
CID100003737	V08AA04
CID100003738	V08AB06
CID100003739	V08AC04
CID100003741	V08AB07
CID100003742	V08AB03
CID100003743	V08AB12
CID100003746	R01AX03;R03BB01
CID100003749	C09CA04
CID100003750	L01XX19
CID100003759	N06AF01
CID100003763	N01AB06
CID100003767	J04AC01
CID100003777	-
CID100003779	R03CB01;R03AB02;C01CA02
CID100003780	C05AE02;C01DA08
CID100003783	C04AA01
CID100003784	C08CA03
CID100003793	J02AC02
CID100003821	N01AX14;N01AX03
CID100003823	J02AB02;D01AC08;G01AF11
CID100003825	M02AA27;M02AA10;M01AE03;M01AE17
CID100003826	S01BC05;M01AB15
CID100003827	R06AX17;S01GX08
CID100003830	-
CID100003848	-
CID100003869	C07AG01
CID100003872	A06AD11
CID100003877	J05AF05
CID100003878	N03AX09
CID100003883	A02BC03;A02BC06
CID100003890	S01EE01
CID100003899	L04AA13
CID100003902	L02BG04
CID100003911	L02AE02
CID100003914	S01ED03
CID100003915	R01AC02;S01GX02
CID100003916	N05AA02
CID100003918	-
CID100003928	J01FF02
CID100003929	J01XX08
CID100003937	C09AA03
CID100003938	N02CA07;G02CB02
CID100003939	-
CID100003948	S01AE04;J01MA07
CID100003950	L01AD02
CID100003954	A07DA03
CID100003957	R06AX13
CID100003958	N05BA06
CID100003961	B03XA01;C09CA01
CID100003962	C10AA02
CID100003964	N05AH01
CID100003998	D06BA03
CID100004004	P03AX03
CID100004011	N06AA21
