L01BB05	CID100003367
N05AB02	CID100003372
V03AB25	CID100003373
D07AC10	CID100003375
D07XB01	CID100003375
D07AB03	CID100003375
R03BA03	CID100003379
R01AD04	CID100003379
N05CD03	CID100003380
C05AA10	CID100003381
D07AC04	CID100003381
S01BA15	CID100003381
S02BA08	CID100003381
D07AC08	CID100003382
C05AA11	CID100003382
S01CB05	CID100003384
S01BA07	CID100003384
D07XB04	CID100003384
D10AA01	CID100003384
D07AB06	CID100003384
C05AA06	CID100003384
L01BC02	CID100003385
N06AB03	CID100003386
G03BA01	CID100003387
D07AC07	CID100003392
N05CD01	CID100003393
S01BC04	CID100003394
M01AE09	CID100003394
R02AX01	CID100003394
M02AA19	CID100003394
L02BB01	CID100003397
C10AA04	CID100003403
N06AB08	CID100003404
B03BB01	CID100003405
V03AB34	CID100003406
R03AC13	CID100003410
J05AD01	CID100003414
J01XX01	CID100003417
C09AA09	CID100003419
L01XX39	CID100003425
C03CA01	CID100003440
D09AA02	CID100003443
D06AX01	CID100003443
J01XC01	CID100003443
S01AA13	CID100003443
N03AX12	CID100003446
N06DA04	CID100003449
S01AD09	CID100003454
J05AB06	CID100003454
L01BC05	CID100003461
G02AD03	CID100003462
C10AB04	CID100003463
S03AA06	CID100003467
D06AX07	CID100003467
S01AA11	CID100003467
S02AA14	CID100003467
J01GB03	CID100003467
A10BB09	CID100003475
A10BB12	CID100003476
A10BB07	CID100003478
A10BB01	CID100003488
A03AB02	CID100003494
R03BB06	CID100003494
A04AA02	CID100003510
D01AA08	CID100003512
D01BA01	CID100003512
R05CA03	CID100003516
C02AC02	CID100003519
D07AD02	CID100003553
N05AD01	CID100003559
D08AE01	CID100003598
S01FA05	CID100003623
A03BB01	CID100003636
C02DB02	CID100003637
C03AA03	CID100003639
S01BA02	CID100003640
H02AB09	CID100003640
C05AA01	CID100003640
A07EA02	CID100003640
S01CB03	CID100003640
S02BA01	CID100003640
A01AC03	CID100003640
D07XA01	CID100003640
D07AA02	CID100003640
D07AB02	CID100003642
C03AA02	CID100003647
N02AA03	CID100003648
P01BA02	CID100003652
L01XX05	CID100003657
N05BB01	CID100003658
S01FA01	CID100003661
A03BA01	CID100003661
V03AB14	CID100003661
A03BA03	CID100003661
M01AE01	CID100003672
C01EB16	CID100003672
G02CC01	CID100003672
M01AE14	CID100003672
M02AA13	CID100003672
N06AF03	CID100003675
R02AD02	CID100003676
S02DA01	CID100003676
D04AB01	CID100003676
C01BB01	CID100003676
C05AD01	CID100003676
S01HA07	CID100003676
N01BB02	CID100003676
L01DB06	CID100003685
S01AD01	CID100003687
J05AB02	CID100003687
D06BB01	CID100003687
L01AA06	CID100003690
N06AA02	CID100003696
C03BA11	CID100003702
J05AE02	CID100003706
M01AB01	CID100003715
M02AA23	CID100003715
S01BC01	CID100003715
C01EB03	CID100003715
V08AB09	CID100003724
V08AB02	CID100003730
V08AB04	CID100003734
V08AB05	CID100003736
V08AA04	CID100003737
V08AB06	CID100003738
V08AC04	CID100003739
V08AB07	CID100003741
V08AB03	CID100003742
V08AB12	CID100003743
R01AX03	CID100003746
R03BB01	CID100003746
C09CA04	CID100003749
L01XX19	CID100003750
N06AF01	CID100003759
N01AB06	CID100003763
J04AC01	CID100003767
R03CB01	CID100003779
R03AB02	CID100003779
C01CA02	CID100003779
C05AE02	CID100003780
C01DA08	CID100003780
C04AA01	CID100003783
C08CA03	CID100003784
J02AC02	CID100003793
N01AX14	CID100003821
N01AX03	CID100003821
J02AB02	CID100003823
D01AC08	CID100003823
G01AF11	CID100003823
M02AA27	CID100003825
M02AA10	CID100003825
M01AE03	CID100003825
M01AE17	CID100003825
S01BC05	CID100003826
M01AB15	CID100003826
R06AX17	CID100003827
S01GX08	CID100003827
C07AG01	CID100003869
A06AD11	CID100003872
J05AF05	CID100003877
N03AX09	CID100003878
A02BC03	CID100003883
A02BC06	CID100003883
S01EE01	CID100003890
L04AA13	CID100003899
L02BG04	CID100003902
L02AE02	CID100003911
S01ED03	CID100003914
R01AC02	CID100003915
S01GX02	CID100003915
N05AA02	CID100003916
J01FF02	CID100003928
J01XX08	CID100003929
C09AA03	CID100003937
N02CA07	CID100003938
G02CB02	CID100003938
S01AE04	CID100003948
J01MA07	CID100003948
L01AD02	CID100003950
A07DA03	CID100003954
R06AX13	CID100003957
N05BA06	CID100003958
B03XA01	CID100003961
C09CA01	CID100003961
C10AA02	CID100003962
N05AH01	CID100003964
D06BA03	CID100003998
P03AX03	CID100004004
N06AA21	CID100004011
P02CA01	CID100004030
A03AA04	CID100004031
C02BB01	CID100004032
L01AA05	CID100004033
R06AE05	CID100004034
M02AA18	CID100004036
M01AG04	CID100004036
S01BA08	CID100004043
M01AG01	CID100004044
P01BC02	CID100004046
M01AC06	CID100004051
L01AA03	CID100004053
N06DX01	CID100004054
A03AB12	CID100004057
N02AB02	CID100004058
N03AB04	CID100004060
N01BB03	CID100004062
N05BC01	CID100004064
A07EC02	CID100004075
R03AB03	CID100004086
R03CB03	CID100004086
A10BA02	CID100004091
N07BC02	CID100004095
N07BC05	CID100004095
J01XX05	CID100004101
M03BA03	CID100004107
L01BA01	CID100004112
L04AX03	CID100004112
D05BA02	CID100004114
D05AD02	CID100004114
A03BB03	CID100004120
S01FA03	CID100004120
C03AA08	CID100004121
C02AB01	CID100004138
C02AB02	CID100004138
V03AB17	CID100004139
V04CG05	CID100004139
G02AB01	CID100004140
N06BA11	CID100004158
N06BA04	CID100004158
D07AA01	CID100004159
H02AB04	CID100004159
D10AA02	CID100004159
G03EK01	CID100004160
G03BA02	CID100004160
N02CA04	CID100004163
A03FA01	CID100004168
C03BA08	CID100004170
C07AB02	CID100004171
D06BX01	CID100004173
A01AB17	CID100004173
G01AF01	CID100004173
P01AB01	CID100004173
J01XD01	CID100004173
V04CD01	CID100004174
C01BB02	CID100004178
N06AX03	CID100004184
D01AC02	CID100004189
G01AF04	CID100004189
A01AB09	CID100004189
S02AA13	CID100004189
A07AC01	CID100004189
J02AB01	CID100004189
N05CD08	CID100004192
C01CA17	CID100004195
G03XB01	CID100004196
C01CE02	CID100004197
D11AX01	CID100004201
C02DC01	CID100004201
N06AX11	CID100004205
L01XX23	CID100004211
L01DB07	CID100004212
N06AG02	CID100004235
N06BA07	CID100004236
R03DC03	CID100004248
N02AA01	CID100004253
J01MA14	CID100004259
S01AE07	CID100004259
R01AX06	CID100004264
D06AX09	CID100004264
L04AA06	CID100004272
M01AX01	CID100004409
C07AA12	CID100004411
N02AF02	CID100004419
J01MB02	CID100004421
N07BB05	CID100004422
V03AB15	CID100004425
N07BB04	CID100004428
R01AA08	CID100004436
R01AB02	CID100004436
S01GA01	CID100004436
N02CC02	CID100004440
A10BX03	CID100004443
N06AX06	CID100004449
N02BG06	CID100004450
J05AE04	CID100004451
B05CA09	CID100004454
J01GB05	CID100004454
A01AB08	CID100004454
D06AX04	CID100004454
D09AA01	CID100004454
R02AB01	CID100004454
A07AA01	CID100004454
S02AA07	CID100004454
S03AA01	CID100004454
R01AX08	CID100004454
S01AA03	CID100004454
S01AA07	CID100004454
S01EB06	CID100004456
N07AA01	CID100004456
J05AG01	CID100004463
C08CA04	CID100004473
C08CA05	CID100004485
L02BB02	CID100004493
C08CA06	CID100004497
C08CA07	CID100004499
N05CD02	CID100004506
J01XE01	CID100004509
C05AE01	CID100004510
C01DA02	CID100004510
A02BA04	CID100004513
G03AC01	CID100004536
G03DC02	CID100004536
J01MA06	CID100004539
S01AE02	CID100004539
G03AD01	CID100004542
G03AC03	CID100004542
N06AA10	CID100004543
A10BX02	CID100004547
D01AA01	CID100004568
A07AA02	CID100004568
G01AA01	CID100004568
J01MA01	CID100004583
J01MA12	CID100004583
S01AE01	CID100004583
S01AE05	CID100004583
S02AA16	CID100004583
N05AH03	CID100004585
A02BC05	CID100004594
A02BC01	CID100004594
A04AA01	CID100004595
A08AB01	CID100004599
M03BC01	CID100004601
N04AB02	CID100004601
J05AH02	CID100004603
J01CF04	CID100004607
L01XA02	CID100004609
L01XA03	CID100004609
M01AE12	CID100004614
N05BA04	CID100004616
G01AF17	CID100004623
D01AC11	CID100004623
C07AA02	CID100004631
G04BD04	CID100004634
N02AA05	CID100004635
A14AA05	CID100004638
J04AA02	CID100004649
J04AA01	CID100004649
L01CD01	CID100004666
M05BA03	CID100004673
M03AC01	CID100004675
D03AX03	CID100004678
S01XA12	CID100004678
A11HA30	CID100004678
A02BC02	CID100004679
A03AD01	CID100004680
G04BE02	CID100004680
A07AA06	CID100004689
N06AB05	CID100004691
C07AA23	CID100004724
J05AB13	CID100004725
D06BB06	CID100004725
M01CC01	CID100004727
J01CE02	CID100004730
N02AD01	CID100004736
N05CA01	CID100004737
L01XX08	CID100004739
C04AD03	CID100004740
N04BC02	CID100004745
C08EX02	CID100004746
N05AC01	CID100004747
N05AB03	CID100004748
G04BX06	CID100004756
N03AA02	CID100004763
C04AX02	CID100004768
A08AA01	CID100004771
A16AX03	CID100004775
R01BA03	CID100004782
R01AA04	CID100004782
C01CA06	CID100004782
S01GA05	CID100004782
R01AB01	CID100004782
S01FB01	CID100004782
R01BA01	CID100004786
A08AA07	CID100004786
C02AC05	CID100004810
V03AB19	CID100004811
S01EB05	CID100004811
B02BA01	CID100004812
N07AX01	CID100004819
S01EB01	CID100004819
C07AA03	CID100004828
A10BG03	CID100004829
J01CA12	CID100004834
R03CC07	CID100004845
R03AC08	CID100004845
D06BB04	CID100004865
A07AA05	CID100004868
J01XB02	CID100004868
S03AA03	CID100004868
S02AA11	CID100004868
S01AA18	CID100004868
C03AA05	CID100004870
N04BC05	CID100004885
C10BA03	CID100004889
C10AA03	CID100004889
P02BA01	CID100004891
C02CA01	CID100004893
S01BA04	CID100004894
H02AB06	CID100004894
D07AA03	CID100004894
S03BA02	CID100004894
R01AD02	CID100004894
D07XA02	CID100004894
A07EA01	CID100004894
C05AA04	CID100004894
S02BA03	CID100004894
S01CB02	CID100004894
A07EA03	CID100004900
H02AB07	CID100004900
N01BB04	CID100004906
P01BA03	CID100004908
N03AA03	CID100004909
M04AB01	CID100004911
C01BA02	CID100004913
C05AD05	CID100004914
N01BA02	CID100004914
S01HA05	CID100004914
L01XB01	CID100004915
N05AB04	CID100004917
G03DA04	CID100004920
P01BB01	CID100004923
R06AD02	CID100004927
D04AA10	CID100004927
C01BC03	CID100004932
A03AB05	CID100004934
S01HA04	CID100004935
N01AX10	CID100004943
C07AA05	CID100004946
N06AA11	CID100004976
P02CC01	CID100004989
N07AA02	CID100004991
R06AC01	CID100004992
D04AA02	CID100004992
P01BD01	CID100004993
N05CD10	CID100004999
N05AH04	CID100005002
C09AA06	CID100005005
M02AA03	CID100005029
A02BC04	CID100005029
A02BC07	CID100005029
M01AA05	CID100005029
