H00604	24729539;10471490;15141091;11175790;12123480;12471561;21610158;26197441;12736868;25759012;12014894;12324385;27657680;22038834;18616530;26522471;26196677;13680526;15015131;21722859;23936043;11709538;17503326;25589040;16446920;25816005;24211385;18674745
H00667	18830268;20346438;18297072;21890491;26160856
H01210	24699222;21397062;20081299
H00551	21532774;17600784;16773578
H00750	12215835;18984066;18280351;20672378
H01119	18340504;16434239
H01549	21450816;19335238
H01739	24389146;23946629;24379699
H01792	26345236;20301370;18245432
H02290	26056285
H00102	17162365;17952897;19028607
H01261	11406349;10036327
H01681	23100216;17625305;16374372
H00826	21068205;21957947;21696507
H02227	27426733;16835913
H00128	16124866;18708002;18050087
H00888	20924400;15483460;18784102;12324554
H02310	19721811
H01676	18203159;16239882;17202229;25061869
H01694	27738400;24597466
H01123	21479626;20346956;11479731
H01639	25578564;26050551;24927773;24366116;26125255
H02271	25561519
H00298	10192708;15721832
H00113	21856826;18577459;22016569
H01446	15286373;22374954;21511767
H01129	18786632
H00934	10955588;9502040;12376942;16773576
H00602	15761539;11004715;17496764;21404100;17262198
H01425	18708002
H02063	10482955;24598000
H01986	21649642;22753041
H01958	10543397;16216942
H00345	20306281;16614249;18427245;20463251;19387343
H01797	24022475
H00473	22499348;19336460;17564966;21931170
H00319	19879977;16522501;20109046;10943406;21204863
H01553	27236440
H02042	17447113;27258166
H02168	19429912;24697860;26148450
H00106	19481265;17162365;18374984;17952897;19162547
H02284	11079193;10896305;9820300
H01889	22333897;26637980;21358631;21358632;11477602;13672525;21358633;26381604;27374770
H00908	21336163;17958891
H00869	17414998;20838246;16807905
H01444	24585051;19383684
H01282	25899990;17047026;25970010;30929735;22275165;27798045;30686508;20887963;19344877;28206990;24431330;28552195;22138898;26721930;29365104;21733974;27640305;26199321;28199965;28905369;23582645;29606301;23315541
H00738	20798280;9028791;21929535
H00779	22279524;22009552;16374329;20379205;23023331;19423712
H00097	18424339;17162365;17952897;19057201;18436740
H01379	18159241
H01438	15994874;19545378;24877986
H00557	21309044;19401719;16780467;21739576;19648921
H01013	15161861;21912254
H01245	16397577;15577852;15356572
H01487	8893234;22444671
H01289	15108285
H01635	193431;2192873;4930042;19306526
H00474	3799723;15386610;11200994;19508970;17952091
H00187	18038189;10885542;12788037
H02203	12721955;24082663
H00596	18646567;17029922
H01422	24360201;21859938
H00470	15146390;18945719;17652215
H01516	17611971;25613167;25286988
H02223	23684011;19006220
H00688	23636092;10470086;11232563;18845459;26903630;21929966
H00063	25065913;15876340;25062847;25253745;21321808;17590087;30284037;19890685;10525976;27583304;17390258;17620880;12869811;11927664;23001565;23280838;21683323;16927298;19050414;14585172;18317266;25070513
H01573	25915598;23994350
H00906	20424861;19631308
H02090	10884712;28406212;3227291
H00623	21681853;11343321;21378989
H02265	9036939;10053007;25751346
H00581	18094725;19470679;21071975
H01936	21278388;19580635
H01517	17994173;26866211
H01726	27356907;27458560;26921911
H02005	22972948;24367056;23322652;19465911
H02030	9109436;8675635
H01147	1600002;21734032
H00406	22303636
H00641	19504607;12357472;12070241;11528512
H01481	26769228;26323997;22389253;24136165
H00457	18500342;23509104;19568269;20889364
H01183	11358373;21285901;20835854
H01750	25800480;25606676;20301540;19449430
H01111	21325058;16817821;12858176
H00594	21620354;17029922;26506222;20225017;17132147;18974558;23401021
H01902	21664999;23680354;26560304;18452888
H02273	24738973;22693284
H01976	9497249;12891679;12145747
H02342	24934289;23393093;25803835;22972638
H02208	11479594;16437574
H01846	24670310;26115675;17205075
H00844	10615129;15149492;26051060
H01506	21885692;26557005;26719720
H00388	14678525;19177768;15364301;20706675
H01768	19243827;22695961;19262438
H02262	27122014;27616477
H00589	20427659;19837033;20340138;19837026;18197188
H02148	9062355;9452994
H00509	21396581;19225462;21737058;19877176
H01312	17005776;11871803
H00079	16395390;16581556;9624291;16164436;18446588;17050746;18426614;12101782;18301422;11172168;17099035
H01375	18177777;19769422;17365988
H00587	20536471;20616732;15708287;20507384;20507631
H00432	19021896;17452557;16955410
H02276	23297359;21820099;21549341
H01326	17671037;20961813;24231751
H01760	17552001;21646031;25633903
H00798	9831348;19756731;9052822;8309582
H02244	15373769
