DB00877	D00753
DB00878	D07668
DB00879	D01199
DB00880	D00519
DB00881	D03752
DB00882	D07726
DB00883	D00516
DB00884	D08484
DB00885	D01088
DB00886	D01970
DB00887	D00247
DB00888	D07671
DB00889	D04370
DB00890	D00898
DB00891	D02434
DB00892	D08319
DB00893	D02141
DB00894	D00153
DB00895	
DB00896	D05729
DB00897	D00387
DB00898	D00068
DB00899	D08473
DB00900	D00296
DB00901	D07534
DB00902	D04979
DB00903	D00313
DB00904	D00456
DB00905	D02724
DB00906	
DB00907	D00110
DB00908	D08458
DB00909	D00538
DB00910	D00930
DB00911	D01426
DB00912	D00594
DB00913	D02941
DB00914	D08351
DB00915	
DB00916	D00409
DB00917	D00079
DB00918	
DB00919	
DB00920	D01332
DB00921	D07132
DB00922	D04720
DB00923	D00259
DB00924	D07758
DB00925	
DB00926	D00316
DB00927	D00318
DB00928	D03021
DB00929	D00419
DB00930	
DB00931	D04972
DB00932	
DB00933	D02671
DB00934	D02566
DB00935	
DB00936	D00097
DB00937	D07444
DB00938	D05792
DB00939	D02341
DB00940	
DB00941	D04435
DB00942	
DB00943	D00412
DB00944	D00667
DB00945	D00109
DB00946	D05457
DB00947	D01161
DB00948	D05021
DB00949	D00536
DB00950	D07958
DB00951	D00346
DB00952	D08255
DB00953	D00675
DB00954	D03865
DB00955	D08268
DB00956	D08045
DB00957	D05209
DB00958	D01363
DB00959	D00407
DB00960	D00513
DB00961	D08181
DB00962	D00530
DB00963	D07541
DB00964	
DB00965	D04082
DB00966	D00627
DB00967	D03693
DB00968	D08205
DB00969	D07129
DB00970	D00214
DB00971	
DB00972	D07483
DB00973	D01966
DB00974	D00052
DB00975	D00302
DB00976	D01078
DB00977	D00554
DB00978	D02318
DB00979	
DB00980	
DB00981	D00196
DB00982	D00348
DB00983	D07990
DB00984	D00956
DB00985	D00520
DB00986	D00540
DB00987	D00168
DB00988	D07870
DB00989	D03822
DB00990	D00963
DB00991	D00463
DB00992	D08204
DB00993	D00238
DB00994	D08260
DB00995	D00237
DB00996	D00332
DB00997	D03899
DB00998	D07997
DB00999	D00340
DB01000	D01334
DB01001	D02147
DB01002	D08116
DB01003	D07753
DB01004	D00333
DB01005	D00341
DB01006	D00964
DB01007	D00890
DB01008	D00248
DB01009	D00132
DB01010	
DB01011	D00410
DB01012	D03504
DB01013	D01272
DB01014	D07488
DB01015	D00447
DB01016	D00336
DB01017	D05045
DB01018	D08031
DB01019	
DB01020	D00630
DB01021	D00658
DB01022	D00148
DB01023	D00319
DB01024	
DB01025	D01828
DB01026	D00351
DB01028	D00544
DB01029	D00523
DB01030	D08618
DB01031	D00703
DB01032	D00475
DB01033	D04931
DB01034	
DB01035	
DB01036	D00646
DB01037	D03731
DB01038	
DB01039	D00565
DB01041	D00754
DB01042	D00369
DB01043	D08174
DB01044	D08011
DB01045	D00211
DB01046	D04790
DB01047	D00325
DB01048	D07057
DB01049	D02268
DB01050	D00126
DB01051	
DB01053	D02336
DB01054	D00629
DB01055	
DB01056	D06172
DB01057	D02193
DB01058	D00471
DB01059	D00210
DB01060	D07452
DB01061	D02339
DB01062	D00465
DB01063	
DB01064	
DB01065	D08170
DB01066	D01628
DB01067	D00335
DB01068	D00280
DB01069	D00494
DB01070	D00299
DB01071	D01324
DB01072	D07471
DB01073	D01907
DB01074	
DB01075	D00300
DB01076	D07474
DB01077	D02373
DB01078	D01240
DB01079	D06056
DB01080	D00535
DB01081	D00301
DB01082	
DB01083	
DB01084	D07890
DB01085	D00525
DB01086	D00552
DB01087	
DB01088	
DB01089	D08194
DB01090	
DB01091	D07596
DB01092	D00112
DB01093	D01043
DB01094	
DB01095	D07983
DB01096	D00460
DB01097	D00749
DB01098	D08492
DB01099	D00323
DB01100	D00560
DB01101	D01223
DB01102	D02976
DB01103	D08179
DB01104	D02360
DB01105	D08513
DB01106	D01717
DB01107	D01150
DB01108	D01180
DB01109	
DB01110	D00882
DB01111	
DB01112	D00262
DB01113	D07425
DB01114	D07398
DB01115	D00437
DB01116	
DB01117	D00236
DB01118	D02910
DB01119	D00294
DB01120	D01599
DB01121	D00504
DB01122	
DB01123	
